n_BM,Method,CR
100,map-elites,0.8130650011003018
100,mutation-kmeans,0.7993939971506595
100,naive-kmeans,0.7391470034182072
200,map-elites,0.657727002042532
200,mutation-kmeans,0.6351180001556873
200,naive-kmeans,0.5626239969581366
300,map-elites,0.5255449973940849
300,mutation-kmeans,0.5053229970097541
300,naive-kmeans,0.4398069981202483
400,map-elites,0.41540599794387817
400,mutation-kmeans,0.3775400000855327
400,naive-kmeans,0.3205130001142621
